sps,test,model,score,Cutoff,Sensitivity,Specificity
Bsch,POD,GLM,1,3,100,0
Bsch,POD,ANN,1,3,100,0
Bsch,POD,RF,1,2,100,19.37
Bsch,POD,GAM,1,5,99.99,18.86
Bsch,CSI,GLM,0.96,595,99.05,97.03
Bsch,CSI,ANN,0.97,285,99.48,96.87
Bsch,CSI,RF,0.99,475,99.48,98.93
Bsch,CSI,GAM,0.97,303,99.35,96.85
Bsch,ETS,GLM,0.93,608,99.05,97.03
Bsch,ETS,ANN,0.93,323,99.44,96.92
Bsch,ETS,RF,0.97,536,99.42,99
Bsch,ETS,GAM,0.93,303,99.35,96.85
Bvio,KAPPA,GLM,0.97,936,98.92,99.09
Bvio,KAPPA,ANN,0.98,888,98.83,99.38
Bvio,KAPPA,RF,0.98,614,99.14,99.6
Bvio,KAPPA,GAM,0.97,942,98.95,99.26
Bvio,TSS,GLM,0.98,744,99.41,98.82
Bvio,TSS,ANN,0.98,674,99.23,99.12
Bvio,TSS,RF,0.99,224,99.54,99.38
Bvio,TSS,GAM,0.98,698,99.44,99.02
Bvio,ROC,GLM,1,NA,NA,NA
Bvio,ROC,ANN,1,NA,NA,NA
Bvio,ROC,RF,1,NA,NA,NA
Bvio,ROC,GAM,1,NA,NA,NA
Bvio,FAR,GLM,0.98,981,92.38,99.44
Bvio,FAR,ANN,0.98,986,96.39,99.56
Bvio,FAR,RF,0.99,952,97.13,99.79
Bvio,FAR,GAM,0.98,983,97.59,99.42
Bvio,SR,GLM,0.98,981,92.38,99.44
Bvio,SR,ANN,0.98,986,96.39,99.56
Bvio,SR,RF,0.99,952,97.13,99.79
Bvio,SR,GAM,0.98,983,97.59,99.42
Bvio,ACCURACY,GLM,0.99,936,98.92,99.09
Bvio,ACCURACY,ANN,0.99,890,98.83,99.38
Bvio,ACCURACY,RF,1,643,99.07,99.62
Bvio,ACCURACY,GAM,0.99,953,98.8,99.28
Bvio,BIAS,GLM,1,969,96.82,99.26
Bvio,BIAS,ANN,1,966,97.93,99.44
Bvio,BIAS,RF,1,753,98.61,99.67
Bvio,BIAS,GAM,1,977,97.9,99.4
Bvio,POD,GLM,1,30,99.91,19.62
Bvio,POD,ANN,1,3,100,38.92
Bvio,POD,RF,1,1,100,0
Bvio,POD,GAM,1,6,99.91,19.72
Bvio,CSI,GLM,0.95,936,98.92,99.09
Bvio,CSI,ANN,0.96,888,98.83,99.38
Bvio,CSI,RF,0.97,614,99.14,99.6
Bvio,CSI,GAM,0.96,942,98.95,99.26
Bvio,ETS,GLM,0.94,936,98.92,99.09
Bvio,ETS,ANN,0.95,888,98.83,99.38
Bvio,ETS,RF,0.97,614,99.14,99.6
Bvio,ETS,GAM,0.95,942,98.95,99.26
Cfra,KAPPA,GLM,0.75,977,96.33,98.93
Cfra,KAPPA,ANN,0.78,983,93.47,99.18
Cfra,KAPPA,RF,0.88,732,94.29,99.66
Cfra,KAPPA,GAM,0.77,929,97.55,99.03
Cfra,TSS,GLM,0.98,798,99.59,98.56
Cfra,TSS,ANN,0.98,387,99.59,98.17
Cfra,TSS,RF,0.97,44,98.78,98.57
Cfra,TSS,GAM,0.98,344,100,39.59
Cfra,ROC,GLM,0.99,NA,NA,NA
Cfra,ROC,ANN,1,NA,NA,NA
Cfra,ROC,RF,1,NA,NA,NA
Cfra,ROC,GAM,1,NA,NA,NA
Cfra,FAR,GLM,0.62,978,95.92,98.94
Cfra,FAR,ANN,0.68,983,93.47,99.18
Cfra,FAR,RF,0.87,986,85.71,99.75
Cfra,FAR,GAM,0.65,980,95.1,99.1
